NAME,H2S_Heat,CO2_Heat,CH4_Heat,,IZASC,dH_H2S,dH_CO2,dH_CH4,H,C,M,,
ABW_0,-37.57068197,-43.70329075,-36.73259506,,,,,,,,,,24.436
ABW_1,-30.68099726,-40.35172094,-26.39686201,,,,,,,,,,
ACO_0,-39.18173265,-41.91076777,-39.88046792,,,,,,,,,,
AEI_0,-36.30508259,-39.36653583,-38.05748335,,,,,,,,,,
AEI_1,-39.9037906,-44.25295334,-41.92506665,,,,,,,,,,
AEN_0,-38.2536587,-45.21060912,-38.24872424,,,,,,,,,,
AEN_1,-42.99567089,-54.1487591,-41.57623725,,,,,,,,,,
AFN_0,-38.85340118,-43.16313877,-40.85613126,,,,,,,,,,
AFT_0,-36.50562089,-39.37095674,-38.26304507,,,,,,,,,,
AFT_1,-40.3848513,-44.33057981,-42.42738203,,,,,,,,,,
AFV,-37.88202461,-41.50703335,-40.0008806,,,,,,,,,,
AFX_0,-36.66141914,-39.41459312,-38.41952923,,,,,,,,,,
AFX_1,-40.61358779,-44.33496269,-42.63438897,,,,,,,,,,
AHT_1,-44.32704258,-49.60736622,-46.88570834,,,,,,,,,,
APC_0,-37.99060936,-41.95198439,-37.59095409,,,,,,,,,,
APC_1,-43.99885762,-52.43499021,-44.02997321,,,,,,,,,,
APC_2,-42.08956831,-49.04048088,-41.07173723,,,,,,,,,,
APD_0,-42.59675393,-43.95772218,-44.68874215,,,,,,,,,,
ATT_0,-40.44850053,-44.04037142,-42.90808707,,,,,,,,,,
ATT_1,-44.55193287,-50.31328634,-47.30712705,,,,,,,,,,
ATV_0,-42.47122822,-42.88085927,-44.26901197,,,,,,,,,,
ATV_1,-38.42973556,-33.36570971,-38.03606945,,,,,,,,,,
AVE,-38.68581622,-42.25181883,-40.89640792,,,,,,,,,,
AVL,-38.65287544,-42.06173696,-40.92648287,,,,,,,,,,
AWO_0,-41.93405792,-43.04281228,-44.23208469,,,,,,,,,,
AWO_1,-48.38688712,-54.19455242,-51.19351988,,,,,,,,,,
BIK_0,-38.23690845,-44.00205647,-37.88233678,,,,,,,,,,
BIK_1,-31.45886329,-40.26489167,-27.25536658,,,,,,,,,,
BRE_1,-40.05774936,-43.64390508,-42.45204842,,,,,,,,,,
BSV_0,-40.91348985,-44.85179736,-43.34702908,,,,,,,,,,
CAS_0,-43.22387076,-39.68607086,-45.44611926,,,,,,,,,,
CDO_0,-40.53328248,-44.43799196,-43.03202725,,,,,,,,,,
CDO_1,-41.95057828,-45.9911929,-44.63191019,,,,,,,,,,
CGF_0,-41.75012572,-45.73586294,-44.3886413,,,,,,,,,,
CHA_0,-36.4510561,-39.57603799,-38.26088342,,,,,,,,,,
CHI_0,-33.98888618,-43.19862102,-31.41966651,,,,,,,,,,
CZP_0,-41.21694784,-45.80486833,-41.73369743,,,,,,,,,,
DAC_0,-40.92670277,-42.95451076,-43.38764766,,,,,,,,,,
DDR_0,-43.76372969,-41.52080134,-45.62450398,,,,,,,,,,
DDR_1,-44.42817232,-41.80194208,-46.92624215,,,,,,,,,,
DFT_0,-42.3385728,-42.58169051,-44.46236351,,,,,,,,,,
EAB_0,-38.71037973,-42.17471129,-40.99441407,,,,,,,,,,
EAB_1,-36.76685986,-39.88652537,-38.75106138,,,,,,,,,,
EAB_2,-38.54665834,-42.0362894,-40.90022188,,,,,,,,,,
EDI_0,-40.58500896,-43.70325731,-43.03172395,,,,,,,,,,
EDI_1,-39.16633197,-36.72479578,-40.7686549,,,,,,,,,,
EDI_2,-36.88827621,-39.84520996,-38.7363878,,,,,,,,,,
EPI_0,-40.50131856,-44.05806506,-42.95842799,,,,,,,,,,
EPI_1,-40.74537238,-43.13456711,-43.24865779,,,,,,,,,,
ERI_0,-37.25118436,-40.5584675,-39.25101165,,,,,,,,,,
ERI_1,-36.79392953,-40.01850642,-38.72651291,,,,,,,,,,
ERI_2,-42.06596193,-46.91301124,-44.56094855,,,,,,,,,,
ESV_0,-40.25483836,-44.19910192,-42.70979019,,,,,,,,,,
ESV_1,-39.73077593,-43.50275195,-42.08434389,,,,,,,,,,
ETL,-39.36854436,-43.43455835,-41.72124612,,,,,,,,,,
EWS,-38.05641358,-41.67996599,-40.22106323,,,,,,,,,,
GIS_0,-39.46675617,-42.70029856,-41.46341695,,,,,,,,,,
GIS_1,-37.58964433,-40.30936446,-39.10067785,,,,,,,,,,
GIS_2,-39.303818,-43.19316949,-41.2640742,,,,,,,,,,
GIS_3,-43.60431655,-49.17543153,-46.00569161,,,,,,,,,,
GIS_4,-38.93901095,-42.71364382,-40.64802452,,,,,,,,,,
GIS_5,-37.46413298,-39.95034031,-39.05683158,,,,,,,,,,
GIS_6,-38.89837683,-42.31802271,-40.83056798,,,,,,,,,,
GOO_0,-40.19119989,-45.01768371,-41.62143654,,,,,,,,,,
GOO_1,-37.36809128,-41.15274815,-38.16690636,,,,,,,,,,
HEU_0,-40.08355681,-43.70907416,-42.42559726,,,,,,,,,,
HEU_1,-39.41501601,-42.95090768,-41.65447002,,,,,,,,,,
HEU_2,-39.69301955,-43.15675423,-41.96509541,,,,,,,,,,
IFY,-38.59910284,-41.99421451,-40.36131145,,,,,,,,,,
IHW_0,-38.14532243,-41.95645463,-40.2173801,,,,,,,,,,
IHW_1,-38.43709011,-42.28367095,-40.5440303,,,,,,,,,,
IRN,-37.3293689,-40.06279008,-39.22203524,,,,,,,,,,
ITE_1,-36.87961674,-39.8738426,-38.69971599,,,,,,,,,,
ITW_0,-39.62587266,-44.4141963,-41.02234285,,,,,,,,,,
ITW_1,-39.06697993,-44.92502954,-40.37094501,,,,,,,,,,
JBW_0,-39.53683603,-45.49327738,-39.63984805,,,,,,,,,,
JOZ_0,-39.48278159,-43.00369964,-41.40694102,,,,,,,,,,
JSN_0,-41.07578367,-45.52440126,-43.40792752,,,,,,,,,,
JSN_1,-45.02755185,-50.61583216,-47.63557359,,,,,,,,,,
JST_0,-37.32849733,-41.02970998,-39.13935461,,,,,,,,,,
LEV_0,-38.13662732,-41.832619,-40.26262326,,,,,,,,,,
LEV_1,-37.26557412,-40.76278498,-39.26043618,,,,,,,,,,
LEV_2,-38.15835882,-41.90327932,-40.29897282,,,,,,,,,,
LOV_0,-41.96533516,-43.35186974,-44.56103448,,,,,,,,,,
LTJ_0,-38.8345002,-33.54804327,-38.55515992,,,,,,,,,,
LTJ_1,-33.33689572,-34.69224308,-31.47775786,,,,,,,,,,
MER_1,-38.00870844,-40.5360854,-39.37845897,,,,,,,,,,
MER_2,-38.21014465,-42.02318844,-40.5389105,,,,,,,,,,
MON_0,-37.9626317,-43.28184119,-37.68860348,,,,,,,,,,
MON_1,-35.79416363,-44.1006889,-34.30888864,,,,,,,,,,
MRT,-39.60650273,-43.66693888,-41.93835193,,,,,,,,,,
MTF_1,-40.2631384,-44.46964006,-42.63719449,,,,,,,,,,
NAB_0,-36.44436484,-42.09066208,-36.00401923,,,,,,,,,,
NPO_0,-34.90978972,-43.41253794,-32.99814066,,,,,,,,,,
NPT_0,-36.23419316,-38.79094662,-38.27580121,,,,,,,,,,
NSI_0,-37.06449545,-40.6049777,-35.62830662,,,,,,,,,,
OWE_0,-39.95572896,-43.93946327,-42.34110608,,,,,,,,,,
PAR_0,-35.30143325,-41.03972103,-34.65467509,,,,,,,,,,
PAR_1,-34.31276916,-39.82919712,-33.49754119,,,,,,,,,,
PAU_1,-37.88034248,-40.85369097,-39.64947292,,,,,,,,,,
PHI_0,-39.09762556,-43.08947616,-41.21890315,,,,,,,,,,
PHI_1,-38.87146042,-41.45475143,-40.757718,,,,,,,,,,
PHI_2,-38.62100271,-42.50236446,-40.79970108,,,,,,,,,,
POR,-40.02622623,-44.2068448,-42.42386243,,,,,,,,,,
RHO_1,-34.63985806,-36.17215751,-35.57879015,,,,,,,,,,
RRO_0,-37.4527579,-43.42484375,-37.877656,,,,,,,,,,
RSN_0,-41.21314398,-43.09008867,-43.89802454,,,,,,,,,,
RTE_0,-38.54724452,-42.37185914,-40.66645101,,,,,,,,,,
RTE_1,-38.8890938,-42.79079926,-41.06523317,,,,,,,,,,
RTH_1,-37.12088712,-40.26411151,-38.94869806,,,,,,,,,,
RWR_0,-40.91396784,-39.41418717,-41.62865389,,,,,,,,,,
RWR_1,-39.65672037,-34.03563601,-39.13506515,,,,,,,,,,
SAT_0,-37.58964099,-40.95803539,-39.6737223,,,,,,,,,,
SAT_1,-42.48442512,-47.38572328,-45.05465474,,,,,,,,,,
SBN_0,-40.71770503,-42.36520904,-42.6789383,,,,,,,,,,
SFW_0,-36.62301715,-39.22027164,-38.35877244,,,,,,,,,,
SFW_1,-36.39348832,-38.86559565,-38.03340714,,,,,,,,,,
SIV_0,-39.30013345,-42.94856866,-41.3371661,,,,,,,,,,
STT_1,-37.68644064,-40.98758551,-39.6528555,,,,,,,,,,
SWY,-37.99333807,-41.36017454,-40.28625609,,,,,,,,,,
THO_0,-39.68272689,-43.7311602,-41.77752239,,,,,,,,,,
UEI_0,-40.77048593,-42.46475271,-42.84728468,,,,,,,,,,
UFI_0,-40.10664089,-43.05809311,-43.16639297,,,,,,,,,,
UFI_1,-40.19593137,-43.00439187,-43.04433069,,,,,,,,,,
VNI_0,-40.04901405,-43.37523773,-41.92132433,,,,,,,,,,
VSV_0,-37.36958781,-42.75501132,-37.69473851,,,,,,,,,,
WEI_0,-36.00409537,-40.72404793,-35.40308417,,,,,,,,,,
YUG_0,-39.77576493,-45.51373092,-40.8012411,,,,,,,,,,
YUG_1,-30.48944941,-38.22260326,-27.22276581,,,,,,,,,,
ZON_0,-41.13260783,-45.28584437,-43.72217413,,,,,,,,,,
ZON_1,-44.84221872,-50.63372298,-47.69637394,,,,,,,,,,
